        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X E Cov        Y E Cov 
    -1.7786085     -0.3186582      0.4736361      0.1485808      0.9183272     -1.5974178      2.2703937      2.2314961 
    -1.7786085     -0.3186582      0.4736361      0.8503991      0.1536375      0.1482591      2.1361381      2.3967835 
    -1.7786085     -0.3186582      0.4736361      0.5637547      2.0569302      1.0282174      2.0644492      2.5188568 
    -1.7786085     -0.3186582      0.4736361     -0.2511046     -0.6176727      0.7563798      2.0912643      2.4695484 
    -1.7786085     -0.3186582      0.4736361     -0.6505808      1.0344066     -0.4143233      2.1679855      2.3513275 
    -1.7786085     -0.3186582      0.4736361      0.4185372     -0.4163319     -2.8258779      2.4269762      2.1008311 
    -1.7786085     -0.3186582      0.4736361     -0.8805144      0.8173558      1.0344576      2.0642864      2.5191713 
    -1.7786085     -0.3186582      0.4736361     -1.3432902      0.6275275     -0.2617543      2.1579194      2.3651994 
    -1.1907930      0.7972273     -1.2922476     -0.2697468      1.7401177      0.7428748      2.5410866      2.2665626 
    -1.1907930      0.7972273     -1.2922476      0.3122645      1.0707520     -0.0940861      2.6155641      2.2146750 
    -1.1907930      0.7972273     -1.2922476     -0.7626383      0.9556161      1.1556141      2.4946832      2.3033742 
    -1.1907930      0.7972273     -1.2922476     -1.2403553      1.3051345      2.1248312      2.4155438      2.3760807 
    -1.1907930      0.7972273     -1.2922476      0.4650196      0.4329045      1.4884300      2.4453458      2.3470622 
    -1.1907930      0.7972273     -1.2922476     -0.0570234     -0.4124871      0.2012705      2.5697344      2.2456371 
    -1.1907930      0.7972273     -1.2922476     -0.9483128     -1.1361858      0.5735687      2.5266489      2.2776112 
    -1.1907930      0.7972273     -1.2922476     -0.7276903     -0.5385989     -0.5658896      2.6675738      2.1828365 
    -1.1907930      0.7972273     -1.2922476     -0.4538511      0.5040608     -1.0181424      2.7292016      2.1490039 
    -1.1907930      0.7972273     -1.2922476      0.5075865      0.9643706     -2.6888306      2.9508486      2.0535273 
    -1.1907930      0.7972273     -1.2922476     -0.4353617      0.3708653     -1.0213981      2.7287158      2.1492558 
    -1.1907930      0.7972273     -1.2922476     -0.1549746      1.0584077     -1.8669112      2.8399693      2.0968794 
    -1.1907930      0.7972273     -1.2922476     -1.4835649      0.3714950     -0.7886224      2.7109559      2.1586184 
    -1.1907930      0.7972273     -1.2922476     -0.1186653     -0.3797580      3.0564587      2.3002192      2.5123857 
    -1.1907930      0.7972273     -1.2922476      0.6131484      1.3089935      2.0364415      2.4099070      2.3818159 
    -1.1907930      0.7972273     -1.2922476     -0.5060998     -0.2681431      1.5545776      2.4352130      2.3566902 
    -1.1907930      0.7972273     -1.2922476     -0.0708575      0.4169852     -0.2606735      2.6319603      2.2042823 
    -1.1907930      0.7972273     -1.2922476      1.6988659     -1.3155329      1.4944459      2.4044100      2.3874883 
    -1.1907930      0.7972273     -1.2922476      0.0808478     -0.9884230     -1.4179509      2.7704322      2.1284130 
    -1.1907930      0.7972273     -1.2922476      0.1111379      0.0866533      1.5665786      2.4351681      2.3567334 
    -1.1907930      0.7972273     -1.2922476      0.2907973     -0.0877765     -0.7423335      2.6820169      2.1745520 
    -1.1907930      0.7972273     -1.2922476     -1.3736164     -0.3149914      0.0516799      2.6013479      2.2239685 
    -1.1907930      0.7972273     -1.2922476     -1.3564792     -0.3101441      2.2935804      2.3733876      2.4210552 
    -1.1907930      0.7972273     -1.2922476      0.2374060     -0.0175563      1.4066434      2.4475252      2.3450222 
    -1.1907930      0.7972273     -1.2922476     -1.8420513     -1.0042891     -2.4335098      2.9578962      2.0510198 
    -1.1907930      0.7972273     -1.2922476      1.7722715     -1.2412327     -0.3063707      2.6006853      2.2244082 
    -1.1907930      0.7972273     -1.2922476      0.4002092      0.0464716      1.0061690      2.4862796      2.3104634 
    -1.1907930      0.7972273     -1.2922476      0.3311030      0.1533182     -1.7908551      2.8229200      2.1042684 
    -1.1907930      0.7972273     -1.2922476      0.4644497      1.3244043      0.1911994      2.5859617      2.2343366 
    -1.1907930      0.7972273     -1.2922476     -0.4172209     -0.0694020      1.0495187      2.4871749      2.3097015 
    -1.1907930      0.7972273     -1.2922476     -0.1667615      1.0145148     -1.4071743      2.7782332      2.1246841 
    -1.1907930      0.7972273     -1.2922476     -0.0239310      0.1047182      0.9012538      2.5013663      2.2978331 
    -1.1907930      0.7972273     -1.2922476     -1.8144229      0.3981047      0.9430387      2.5169482      2.2852350 
    -1.1907930      0.7972273     -1.2922476      1.2201245     -0.6383207      0.5625904      2.5146927      2.2870314 
    -1.1907930      0.7972273     -1.2922476     -0.7814302     -0.9597891     -1.2299996      2.7547742      2.1360544 
    -1.1907930      0.7972273     -1.2922476     -0.3810850     -0.3567030      0.2033539      2.5733842      2.2430618 
    -1.1907930      0.7972273     -1.2922476      0.3492262      0.2325133      1.5052410      2.4414344      2.3507506 
