        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X S Cov        Y S Cov 
    -0.3957560      1.9782728     -0.2861360     -0.5213709     -0.1207474      0.2048748      2.6229006      2.5387931 
    -0.3957560      1.9782728     -0.2861360      0.9807809     -1.5916118     -0.2486810      2.6691797      2.4954123 
    -0.3957560      1.9782728     -0.2861360     -0.5048035     -0.6669659      1.4251995      2.5087012      2.6687147 
    -0.3957560      1.9782728     -0.2861360      0.5109942     -0.8381869     -2.5391757      2.9465252      2.3062819 
    -0.3957560      1.9782728     -0.2861360     -0.3520288     -1.1931331     -0.3522094      2.6824248      2.4837957 
    -0.3957560      1.9782728     -0.2861360      0.8140002      2.3808456     -2.1524748      2.8486483      2.3620102 
    -0.3957560      1.9782728     -0.2861360      0.2394776      0.0181145     -1.8274343      2.8416617      2.3663753 
    -0.3957560      1.9782728     -0.2861360     -0.3610294     -0.1767368     -2.7030983      2.9595272      2.2995669 
    -0.3957560      1.9782728     -0.2861360     -1.2573190     -1.0714413      1.6545048      2.4872870      2.6976120 
    -0.3957560      1.9782728     -0.2861360     -0.2084302     -0.2131852      1.2538119      2.5254071      2.6472930 
    -0.3957560      1.9782728     -0.2861360      0.0789788     -1.4142868      1.3156461      2.5139600      2.6618691 
    -0.3957560      1.9782728     -0.2861360      0.9862257      0.2700961     -0.5237460      2.6920138      2.4755911 
    -0.3957560      1.9782728     -0.2861360      1.6928113      0.4905634     -3.9065356      3.1028078      2.2342592 
    -0.3957560      1.9782728     -0.2861360      0.1061749     -1.0800426      0.1943372      2.6231347      2.5385620 
    -0.3957560      1.9782728     -0.2861360      0.5651559     -1.5837211      0.1780383      2.6241373      2.5375736 
    -0.3957560      1.9782728     -0.2861360      1.2206149      0.1738453     -1.9292287      2.8486376      2.3620168 
    -0.3957560      1.9782728     -0.2861360      1.5442710      0.8007408      1.3393441      2.5204040      2.6536098 
    -0.3957560      1.9782728     -0.2861360     -0.0245276     -0.2488844      1.1474129      2.5343490      2.6362064 
    -0.3957560      1.9782728     -0.2861360      0.3522395      0.0558767     -1.5507422      2.8079205      2.3882770 
    -0.3957560      1.9782728     -0.2861360     -0.6335922     -1.0098817      0.2858207      2.6152237      2.5464418 
    -0.3957560      1.9782728     -0.2861360      0.4728107     -0.3180322      0.4799677      2.5945511      2.5677361 
    -0.3957560      1.9782728     -0.2861360      0.2592277      0.7178069     -0.2087320      2.6606720      2.5030537 
    -0.3957560      1.9782728     -0.2861360     -0.0232365     -0.5044732      1.0156192      2.5451913      2.6231016 
    -0.3957560      1.9782728     -0.2861360     -0.9293900      0.1105930      0.3952168      2.6053220      2.5565117 
    -0.3957560      1.9782728     -0.2861360     -0.7448552      1.8685019      0.3058519      2.6136555      2.5480211 
    -0.3957560      1.9782728     -0.2861360      0.3483174      0.2535717     -0.3631448      2.6770868      2.4884371 
    -0.3957560      1.9782728     -0.2861360      0.5057944     -0.6278993      1.4056804      2.5094151      2.6677797 
    -0.3957560      1.9782728     -0.2861360     -0.6408727     -0.9839714     -0.5367662      2.7027196      2.4666277 
    -0.3957560      1.9782728     -0.2861360      0.8970849     -0.1455912      0.1118066      2.6293516      2.5324699 
    -0.3957560      1.9782728     -0.2861360      0.9451185     -0.2997725     -1.4369510      2.7963586      2.3961103 
